Name,Subposition,TEAM,SAL,FPTS
"""Ty Jerome""","""Shooting Guard""","""1""","""6000""","""28.71"""
"""Mitchell Robinson""","""Center""","""2""","""8180""","""23.6"""
"""Immanuel Quickley""","""Shooting Guard""","""2""","""8200""","""24.76"""
"""Killian Hayes""","""Point Guard""","""3""","""8400""","""21.79"""
"""Robert Covington""","""Power Forward""","""4""","""8430""","""22.53"""
"""Precious Achiuwa""","""Power Forward""","""5""","""8440""","""25.86"""
"""Steven Adams""","""Center""","""6""","""8760""","""22.49"""
"""Larry Nance""","""Power Forward""","""4""","""8800""","""23.23"""
"""De'Anthony Melton""","""Shooting Guard""","""6""","""8860""","""19.03"""
"""Jeremiah Robinson-Earl""","""Power Forward""","""1""","""8950""","""28.72"""
"""Darius Bazley""","""Power Forward""","""1""","""8950""","""24.52"""
"""Devin Vassell""","""Shooting Guard""","""7""","""9010""","""21.13"""
"""Jae Crowder""","""Power Forward""","""8""","""9220""","""24.12"""
"""Cameron Payne""","""Point Guard""","""8""","""9230""","""23.33"""
"""Derrick Rose""","""Point Guard""","""2""","""9330""","""28.49"""
"""Isaiah Stewart""","""Power Forward""","""3""","""9710""","""25.52"""
"""Tyus Jones""","""Point Guard""","""6""","""9730""","""28.38"""
"""Alex Caruso""","""Point Guard""","""9""","""9770""","""25.44"""
"""Pat Connaughton""","""Shooting Guard""","""10""","""9850""","""21.6"""
"""Tre Mann""","""Point Guard""","""1""","""10250""","""29.32"""
"""Saddiq Bey""","""Small Forward""","""3""","""10590""","""26.77"""
"""Keldon Johnson""","""Power Forward""","""7""","""10790""","""26.54"""
"""Norman Powell""","""Small Forward""","""4""","""10870""","""28.14"""
"""Dillon Brooks""","""Shooting Guard""","""6""","""11360""","""36.28"""
"""Anfernee Simons""","""Point Guard""","""4""","""11830""","""29.55"""
"""Desmond Bane""","""Shooting Guard""","""6""","""11990""","""27.99"""
"""Derrick White""","""Point Guard""","""7""","""12000""","""29.45"""
"""Alec Burks""","""Shooting Guard""","""2""","""12350""","""30.62"""
"""Luguentz Dort""","""Small Forward""","""1""","""12390""","""34.46"""
"""Jaren Jackson""","""Power Forward""","""6""","""12530""","""35.93"""
"""Jakob Poeltl""","""Center""","""7""","""12590""","""33.01"""
"""Khris Middleton""","""Small Forward""","""10""","""12640""","""31.76"""
"""Lonzo Ball""","""Point Guard""","""9""","""12970""","""32.93"""
"""Cade Cunningham""","""Point Guard""","""3""","""13000""","""31.52"""
"""Gary Trent""","""Shooting Guard""","""5""","""13060""","""30.81"""
"""Jrue Holiday""","""Point Guard""","""10""","""13410""","""32.29"""
"""Scottie Barnes""","""Small Forward""","""5""","""13710""","""35.71"""
"""Jusuf Nurkic""","""Center""","""4""","""13920""","""35.68"""
"""Jerami Grant""","""Power Forward""","""3""","""14030""","""33.76"""
"""Bobby Portis""","""Power Forward""","""10""","""14460""","""29.41"""
"""Deandre Ayton""","""Center""","""8""","""14830""","""37.75"""
"""Zach LaVine""","""Shooting Guard""","""9""","""14890""","""36.19"""
"""CJ McCollum""","""Shooting Guard""","""4""","""15490""","""39.5"""
"""DeMar DeRozan""","""Shooting Guard""","""9""","""15490""","""37.25"""
"""Chris Paul""","""Point Guard""","""8""","""16090""","""41.52"""
"""Nikola Vucevic""","""Center""","""9""","""16100""","""38"""
"""Julius Randle""","""Power Forward""","""2""","""16180""","""40.75"""
"""Pascal Siakam""","""Power Forward""","""5""","""18080""","""40.34"""
"""Fred VanVleet""","""Point Guard""","""5""","""18480""","""42.52"""
"""Dejounte Murray""","""Point Guard""","""7""","""19210""","""46.97"""
"""Giannis Antetokounmpo""","""Power Forward""","""10""","""21570""","""52.45"""
