ACTIONS,PLAYER,POS,TEAM,OPP,START,ML,O/U,SPRD,TM/P,MINS,FPM,SAL,FPTS,VAL,RST%,PER,USG%
a,Robert Covington,PF,POR,SAN,Exp.,-191,216.0,-4.5,110.25,28,0.80,8430,22.53,2.7,1.35,9.93,11.30
a,Larry Nance,PF,POR,SAN,No,-191,216.0,-4.5,110.25,24,0.97,8800,23.23,2.6,1.35,15.86,13.48
a,Darius Bazley,PF,OKC,@MEM,Yes,426,210.5,11.5,99.50,25,0.98,8950,24.52,2.7,1.35,9.41,18.00
a,Jae Crowder,PF,PHO,DET,Exp.,-744,208.0,-12.0,110.00,30,0.80,9220,24.12,2.6,1.35,10.49,14.48
a,Pat Connaughton,SG,MIL,@TOR,No,-198,216.0,-5.0,110.50,27,0.80,9850,21.60,2.2,1.35,15.88,15.27
a,Saddiq Bey,SF,DET,@PHO,Exp.,518,208.0,12.0,98.00,32,0.84,10590,26.77,2.5,32.06,10.96,20.42
a,Keldon Johnson,PF,SAN,@POR,Exp.,159,216.0,4.5,105.75,29,0.92,10790,26.54,2.5,1.35,14.48,20.83
a,Norman Powell,SF,POR,SAN,Exp.,-191,216.0,-4.5,110.25,31,0.91,10870,28.14,2.6,1.35,18.74,21.39
a,Dillon Brooks,SG,MEM,OKC,Exp.,-584,210.5,-11.5,111.00,33,1.10,11360,36.28,3.2,1.35,16.74,32.42
a,Alec Burks,SG,NY,CHI,Exp.,109,210.0,2.0,104.00,33,0.93,12350,30.62,2.5,1.35,17.52,19.31
a,Luguentz Dort,SF,OKC,@MEM,Yes,426,210.5,11.5,99.50,36,0.96,12390,34.46,2.8,1.35,14.06,21.93
a,Khris Middleton,SF,MIL,@TOR,Exp.,-198,216.0,-5.0,110.50,32,0.99,12640,31.76,2.5,1.35,16.76,26.93
a,Gary Trent,SG,TOR,MIL,Yes,166,216.0,5.0,105.50,35,0.88,13060,30.81,2.4,1.35,16.46,20.51
a,Scottie Barnes,SF,TOR,MIL,Yes,166,216.0,5.0,105.50,37,0.97,13710,35.71,2.6,1.35,17.31,19.82
a,DeMar DeRozan,SG,CHI,@NY,Exp.,-129,210.0,-2.0,106.00,35,1.06,15490,37.25,2.4,1.35,23.76,30.23
a,Giannis Antetokounmpo,PF,MIL,@TOR,Exp.,-198,216.0,-5.0,110.50,33,1.59,21570,52.45,2.4,1.35,31.91,34.36
